case:concept:name,concept:name,time:timestamp
Sitara-1::conversation_1253527_4336.csv::s1,user_neutral,2026-07-16 08:33:53.000
Sitara-1::conversation_1253527_4336.csv::s1,astro_other,2026-07-16 08:33:58.001
Sitara-1::conversation_1253527_4336.csv::s1,user_neutral_factual,2026-07-16 08:34:00.002
Sitara-1::conversation_1253527_4336.csv::s1,astro_other,2026-07-16 08:34:05.003
Sitara-1::conversation_1253527_4336.csv::s1,user_neutral_factual,2026-07-16 08:34:08.004
Sitara-1::conversation_1253527_4336.csv::s1,astro_other,2026-07-16 08:34:13.005
Sitara-1::conversation_1253527_4336.csv::s1,user_emotional_disclosure,2026-07-16 08:34:30.006
Sitara-1::conversation_1253527_4336.csv::s1,astro_validation,2026-07-16 08:34:37.007
Sitara-1::conversation_1253527_4336.csv::s1,user_emotional_disclosure,2026-07-16 08:34:50.008
Sitara-1::conversation_1253527_4336.csv::s1,astro_other,2026-07-16 08:34:57.009
Sitara-1::conversation_1253527_4336.csv::s1,astro_other,2026-07-16 08:34:59.010
Sitara-1::conversation_1253527_4336.csv::s1,user_neutral_factual,2026-07-16 08:35:16.011
Sitara-1::conversation_1253527_4336.csv::s1,astro_callback_within,2026-07-16 08:35:21.012
Sitara-1::conversation_1253527_4336.csv::s1,astro_callback_within,2026-07-16 08:35:23.013
Sitara-1::conversation_1253527_4336.csv::s1,user_neutral_factual,2026-07-16 08:36:04.014
Sitara-1::conversation_1253527_4336.csv::s1,astro_callback_within,2026-07-16 08:36:09.015
Sitara-1::conversation_1253527_4336.csv::s1,astro_callback_within,2026-07-16 08:36:11.016
Sitara-1::conversation_1253527_4336.csv::s1,user_neutral_factual,2026-07-16 08:36:32.017
Sitara-1::conversation_1253527_4336.csv::s1,astro_callback_within,2026-07-16 08:36:37.018
Sitara-1::conversation_1253527_4336.csv::s1,user_emotional_disclosure,2026-07-16 08:36:46.019
Sitara-1::conversation_1253527_4336.csv::s1,astro_callback_within,2026-07-16 08:36:51.020
Sitara-1::conversation_1253527_4336.csv::s1,user_enthusiastic,2026-07-16 08:37:00.021
Sitara-1::conversation_1253527_4336.csv::s1,astro_callback_within,2026-07-16 08:37:05.022
Sitara-1::conversation_1253527_4336.csv::s1,user_neutral_factual,2026-07-16 08:37:09.023
Sitara-1::conversation_1253527_4336.csv::s1,astro_other,2026-07-16 08:37:14.024
Sitara-1::conversation_1253527_4336.csv::s1,user_enthusiastic,2026-07-16 08:37:20.025
Sitara-1::conversation_1253527_4336.csv::s1,astro_callback_within,2026-07-16 08:37:25.026
Sitara-1::conversation_1253527_4336.csv::s1,user_enthusiastic,2026-07-16 08:37:34.027
Sitara-1::conversation_1253527_4336.csv::s1,astro_callback_within,2026-07-16 08:37:39.028
Sitara-1::conversation_1253527_4336.csv::s1,user_neutral_factual,2026-07-16 08:37:48.029
