from,to,frequency
astro_callback_within,astro_callback_within,309
astro_callback_within,astro_dated_prediction,28
astro_callback_within,astro_open_thread,64
astro_callback_within,astro_other,131
astro_callback_within,astro_reframe,24
astro_callback_within,user_emotional_disclosure,133
astro_callback_within,user_enthusiastic,206
astro_callback_within,user_neutral,171
astro_callback_within,user_neutral_factual,230
astro_callback_within,user_pushback,84
astro_dated_prediction,astro_callback_within,18
astro_dated_prediction,astro_dated_prediction,11
astro_dated_prediction,astro_open_thread,11
astro_dated_prediction,astro_other,34
astro_dated_prediction,astro_reframe,1
astro_dated_prediction,user_emotional_disclosure,41
astro_dated_prediction,user_enthusiastic,30
astro_dated_prediction,user_neutral,43
astro_dated_prediction,user_neutral_factual,57
astro_dated_prediction,user_pushback,22
astro_open_thread,astro_callback_within,17
astro_open_thread,astro_dated_prediction,6
astro_open_thread,astro_open_thread,3
astro_open_thread,astro_other,13
astro_open_thread,user_emotional_disclosure,17
astro_open_thread,user_enthusiastic,71
astro_open_thread,user_neutral,19
astro_open_thread,user_neutral_factual,16
astro_open_thread,user_pushback,11
astro_other,astro_callback_within,86
astro_other,astro_dated_prediction,38
astro_other,astro_open_thread,44
astro_other,astro_other,256
astro_other,astro_reframe,27
astro_other,user_emotional_disclosure,82
astro_other,user_enthusiastic,104
astro_other,user_neutral,110
astro_other,user_neutral_factual,185
astro_other,user_pushback,69
astro_reframe,astro_callback_within,6
astro_reframe,astro_dated_prediction,3
astro_reframe,astro_open_thread,2
astro_reframe,astro_other,18
astro_reframe,astro_reframe,10
astro_reframe,user_emotional_disclosure,26
astro_reframe,user_enthusiastic,22
astro_reframe,user_neutral,22
astro_reframe,user_neutral_factual,20
astro_reframe,user_pushback,12
user_emotional_disclosure,astro_callback_within,180
user_emotional_disclosure,astro_dated_prediction,17
user_emotional_disclosure,astro_open_thread,9
user_emotional_disclosure,astro_other,62
user_emotional_disclosure,astro_reframe,31
user_emotional_disclosure,user_emotional_disclosure,33
user_emotional_disclosure,user_enthusiastic,5
user_emotional_disclosure,user_neutral,6
user_emotional_disclosure,user_neutral_factual,9
user_emotional_disclosure,user_pushback,3
user_enthusiastic,astro_callback_within,246
user_enthusiastic,astro_dated_prediction,40
user_enthusiastic,astro_open_thread,17
user_enthusiastic,astro_other,110
user_enthusiastic,astro_reframe,21
user_enthusiastic,user_emotional_disclosure,6
user_enthusiastic,user_enthusiastic,40
user_enthusiastic,user_neutral,6
user_enthusiastic,user_neutral_factual,5
user_neutral,astro_callback_within,195
user_neutral,astro_dated_prediction,68
user_neutral,astro_open_thread,9
user_neutral,astro_other,210
user_neutral,astro_reframe,8
user_neutral,user_emotional_disclosure,2
user_neutral,user_enthusiastic,3
user_neutral,user_neutral,34
user_neutral,user_neutral_factual,10
user_neutral,user_pushback,4
user_neutral_factual,astro_callback_within,251
user_neutral_factual,astro_dated_prediction,55
user_neutral_factual,astro_open_thread,18
user_neutral_factual,astro_other,137
user_neutral_factual,astro_reframe,27
user_neutral_factual,user_emotional_disclosure,11
user_neutral_factual,user_enthusiastic,10
user_neutral_factual,user_neutral,23
user_neutral_factual,user_neutral_factual,41
user_neutral_factual,user_pushback,3
user_pushback,astro_callback_within,126
user_pushback,astro_dated_prediction,11
user_pushback,astro_open_thread,5
user_pushback,astro_other,43
user_pushback,astro_reframe,7
user_pushback,user_emotional_disclosure,5
user_pushback,user_neutral,4
user_pushback,user_neutral_factual,5
user_pushback,user_pushback,15
